x (m),y (m),z (m),t (s),id
-4.19514126051302e-06,-8.03816641692976e-06,-4.47207176101862e-08,3.594972975,1
-4.19519552506178e-06,-8.03865592535288e-06,-4.52924723661795e-08,3.595222975,1
-4.19524978961054e-06,-8.039145433776e-06,-4.58642271221718e-08,3.595472975,1
-4.1953040541593e-06,-8.03963494219911e-06,-4.64359818781641e-08,3.595722975,1
-4.19535831870806e-06,-8.04012445062223e-06,-4.70077366341574e-08,3.595972975,1
-4.19541258325681e-06,-8.04061395904535e-06,-4.75794913901497e-08,3.596222975,1
-4.19546684780557e-06,-8.04110346746846e-06,-4.81512461461421e-08,3.596472975,1
-4.19552179657849e-06,-8.041591227634e-06,-4.87199987326124e-08,3.596722975,1
-4.19595618566027e-06,-8.04110948184375e-06,-4.76238815311526e-08,3.596972975,1
-4.19639057474205e-06,-8.0406277360535e-06,-4.65277643296927e-08,3.597222975,1
-4.19682496382383e-06,-8.04014599026325e-06,-4.54316471282309e-08,3.597472975,1
-4.19725935290561e-06,-8.039664244473e-06,-4.4335529926771e-08,3.597722975,1
-4.19769374198739e-06,-8.03918249868275e-06,-4.32394127253111e-08,3.597972975,1
-4.19812813106917e-06,-8.03870075289251e-06,-4.21432955238513e-08,3.598222975,1
-4.19856252015095e-06,-8.03821900710226e-06,-4.10471783223895e-08,3.598472975,1
-4.19899690923273e-06,-8.03773726131201e-06,-3.99510611209296e-08,3.598722975,1
-4.19943129831451e-06,-8.03725551552176e-06,-3.88549439194697e-08,3.598972975,1
-4.1998656873963e-06,-8.03677376973151e-06,-3.77588267180079e-08,3.599222975,1
-4.20030007647807e-06,-8.03629202394126e-06,-3.6662709516548e-08,3.599472975,1
-4.2009919939759e-06,-8.03682239411886e-06,-3.45343276698849e-08,3.599722975,1
-4.20182552815384e-06,-8.03790933395765e-06,-3.18382962632064e-08,3.599972975,1
-4.20265906233177e-06,-8.03899627379643e-06,-2.91422648565327e-08,3.600222975,1
-4.20349259650971e-06,-8.04008321363521e-06,-2.6446233449859e-08,3.600472975,1
-4.20432613068765e-06,-8.041170153474e-06,-2.37502020431805e-08,3.600722975,1
-4.20470087636901e-06,-8.04186854410783e-06,-2.33529804033286e-08,3.600972975,1
-4.20499573672214e-06,-8.04249927964352e-06,-2.33560329074452e-08,3.601222975,1
-4.20529059707528e-06,-8.04313001517921e-06,-2.33590854115619e-08,3.601472975,1
-4.20558545742841e-06,-8.0437607507149e-06,-2.33621379156785e-08,3.601722975,1
-4.20588031778155e-06,-8.04439148625059e-06,-2.33651904197952e-08,3.601972975,1
-4.20617517813469e-06,-8.04502222178628e-06,-2.33682429239118e-08,3.602222975,1
-4.20647003848782e-06,-8.04565295732197e-06,-2.33712954280285e-08,3.602472975,1
-4.20676489884096e-06,-8.04628369285765e-06,-2.33743479321451e-08,3.602722975,1
-4.20739094717421e-06,-8.04610901859319e-06,-2.35168116458144e-08,3.602972975,1
-4.20876635558647e-06,-8.04411198969116e-06,-2.39747131207414e-08,3.603222975,1
-4.21014176399872e-06,-8.04211496078914e-06,-2.44326145956676e-08,3.603472975,1
-4.21151717241098e-06,-8.04011793188712e-06,-2.48905160705938e-08,3.603722975,1
-4.21289258082323e-06,-8.03812090298509e-06,-2.53484175455208e-08,3.603972975,1
-4.21426798923549e-06,-8.03612387408307e-06,-2.58063190204469e-08,3.604222975,1
-4.21411984925097e-06,-8.03591830292465e-06,-2.55205779720047e-08,3.604472975,1
-4.21284791031871e-06,-8.03703414586208e-06,-2.46863117260429e-08,3.604722975,1
-4.21157597138644e-06,-8.03814998879951e-06,-2.38520454800826e-08,3.604972975,1
-4.21030403245418e-06,-8.03926583173693e-06,-2.30177792341223e-08,3.605222975,1
-4.20903209352191e-06,-8.04038167467436e-06,-2.21835129881605e-08,3.605472975,1
-4.20776015458965e-06,-8.04149751761179e-06,-2.13492467422001e-08,3.605722975,1
-4.20648821565739e-06,-8.04261336054922e-06,-2.05149804962398e-08,3.605972975,1
-4.20521627672512e-06,-8.04372920348665e-06,-1.96807142502795e-08,3.606222975,1
-4.20394433779286e-06,-8.04484504642408e-06,-1.88464480043177e-08,3.606472975,1
-4.2026723988606e-06,-8.04596088936151e-06,-1.80121817583574e-08,3.606722975,1
-4.20140045992833e-06,-8.04707673229894e-06,-1.7177915512397e-08,3.606972975,1
-4.20065165765412e-06,-8.04795155918672e-06,-1.65255231220024e-08,3.607222975,1
-4.2018038922995e-06,-8.04795055295987e-06,-1.65340458267724e-08,3.607472975,1
-4.20282546175031e-06,-8.0481133876577e-06,-1.64467079723793e-08,3.607722975,1
-4.20343212147053e-06,-8.04879647714977e-06,-1.60549778205167e-08,3.607972975,1
-4.20403878119074e-06,-8.04947956664184e-06,-1.56632476686548e-08,3.608222975,1
-4.20464544091096e-06,-8.05016265613391e-06,-1.52715175167928e-08,3.608472975,1
-4.20525210063117e-06,-8.05084574562598e-06,-1.48797873649302e-08,3.608722975,1
